Date,StudentID,Grade,Attendance,Event,Weather,Temperature,DayOfWeek,Month,IsBeforeHoliday,IsAfterHoliday,DistanceKm,DistanceBand
2023-01-02,STU0001,Grade 10,1,term_start,sunny,31.9,Monday,January,False,False,16.41,Far
2023-01-02,STU0002,Grade 10,1,term_start,sunny,31.9,Monday,January,False,False,3.25,Nearby
2023-01-02,STU0003,Grade 10,0,term_start,sunny,31.9,Monday,January,False,False,14.66,Far
2023-01-02,STU0004,Grade 9,1,term_start,sunny,31.9,Monday,January,False,False,4.2,Nearby
2023-01-02,STU0005,Grade 10,1,term_start,sunny,31.9,Monday,January,False,False,5.79,Nearby
2023-01-02,STU0006,Grade 8,0,term_start,sunny,31.9,Monday,January,False,False,10.34,Moderate
2023-01-02,STU0007,Grade 9,0,term_start,sunny,31.9,Monday,January,False,False,8.91,Moderate
2023-01-02,STU0008,Grade 8,1,term_start,sunny,31.9,Monday,January,False,False,12.13,Moderate
2023-01-02,STU0009,Grade 10,1,term_start,sunny,31.9,Monday,January,False,False,12.75,Moderate
2023-01-02,STU0010,Grade 8,0,term_start,sunny,31.9,Monday,January,False,False,0.75,Nearby
2023-01-02,STU0011,Grade 10,0,term_start,sunny,31.9,Monday,January,False,False,19.64,Very Far
2023-01-02,STU0012,Grade 10,1,term_start,sunny,31.9,Monday,January,False,False,2.78,Nearby
2023-01-02,STU0013,Grade 10,1,term_start,sunny,31.9,Monday,January,False,False,8.41,Moderate
2023-01-02,STU0014,Grade 9,1,term_start,sunny,31.9,Monday,January,False,False,10.25,Moderate
2023-01-02,STU0015,Grade 10,1,term_start,sunny,31.9,Monday,January,False,False,6.65,Nearby
2023-01-02,STU0016,Grade 10,1,term_start,sunny,31.9,Monday,January,False,False,5.76,Nearby
2023-01-02,STU0017,Grade 8,1,term_start,sunny,31.9,Monday,January,False,False,3.04,Nearby
2023-01-02,STU0018,Grade 9,1,term_start,sunny,31.9,Monday,January,False,False,22.57,Very Far
2023-01-02,STU0019,Grade 10,1,term_start,sunny,31.9,Monday,January,False,False,3.28,Nearby
2023-01-02,STU0020,Grade 10,1,term_start,sunny,31.9,Monday,January,False,False,10.33,Moderate
2023-01-02,STU0021,Grade 8,1,term_start,sunny,31.9,Monday,January,False,False,16.98,Far
2023-01-02,STU0022,Grade 10,1,term_start,sunny,31.9,Monday,January,False,False,2.86,Nearby
2023-01-02,STU0023,Grade 9,0,term_start,sunny,31.9,Monday,January,False,False,11.43,Moderate
2023-01-02,STU0024,Grade 9,1,term_start,sunny,31.9,Monday,January,False,False,24.74,Very Far
2023-01-02,STU0025,Grade 9,1,term_start,sunny,31.9,Monday,January,False,False,14.72,Far
2023-01-02,STU0026,Grade 9,0,term_start,sunny,31.9,Monday,January,False,False,8.21,Moderate
2023-01-02,STU0027,Grade 9,1,term_start,sunny,31.9,Monday,January,False,False,20.94,Very Far
2023-01-02,STU0028,Grade 8,1,term_start,sunny,31.9,Monday,January,False,False,3.72,Nearby
2023-01-02,STU0029,Grade 8,1,term_start,sunny,31.9,Monday,January,False,False,9.98,Moderate
2023-01-02,STU0030,Grade 10,1,term_start,sunny,31.9,Monday,January,False,False,14.48,Far
2023-01-02,STU0031,Grade 8,0,term_start,sunny,31.9,Monday,January,False,False,3.02,Nearby
2023-01-02,STU0032,Grade 10,1,term_start,sunny,31.9,Monday,January,False,False,22.05,Very Far
2023-01-02,STU0033,Grade 10,1,term_start,sunny,31.9,Monday,January,False,False,1.33,Nearby
2023-01-02,STU0034,Grade 8,0,term_start,sunny,31.9,Monday,January,False,False,5.96,Nearby
2023-01-02,STU0035,Grade 9,1,term_start,sunny,31.9,Monday,January,False,False,21.75,Very Far
2023-01-02,STU0036,Grade 10,1,term_start,sunny,31.9,Monday,January,False,False,3.79,Nearby
2023-01-02,STU0037,Grade 8,1,term_start,sunny,31.9,Monday,January,False,False,20.02,Very Far
2023-01-02,STU0038,Grade 9,0,term_start,sunny,31.9,Monday,January,False,False,23.26,Very Far
2023-01-02,STU0039,Grade 9,1,term_start,sunny,31.9,Monday,January,False,False,12.54,Moderate
