student_id,year,grade,attendance_category,attendance_rate,study_hours_per_week,study_consistency,performance_trend,screen_time_hours,homework_completion_rate,academic_risk_score,behavioral_risk_score,overall_risk_score,Buddhism_score,English_score,Geography_score,History_score,ICT_score,Mathematics_score,Science_score,Sinhala_score
STU0001,2023,8,good,74.5,13.9,Regular,Stable,5.2,0.7696,9.79,13.02,37.66,93.55,78.56,82.22,89.49,89.5,80.68,94.71,88.5
STU0001,2024,9,good,77.27,13.9,Sometimes,Stable,7.8,0.7692,17.18,13.13,41.01,94.27,80.79,87.15,90.15,89.63,82.2,96.06,89.99
STU0001,2025,10,good,75.65,13.9,Rare,Declining,4.7,0.7721,16.49,13.07,40.69,96.09,82.92,85.92,92.98,92,85.57,96.33,91.87
STU0002,2023,8,good,78.5,11.9,Regular,Stable,7.8,0.6152,34.81,21.42,48.93,69.21,58.75,69.93,59.71,92.29,67.14,72.11,68.53
STU0002,2024,9,good,75.25,11.9,Rare,Improving,7.9,0.6154,34.21,21.41,50.75,70.3,58.48,72.25,63.08,92.27,68.08,73.55,71.85
STU0002,2025,10,good,81.35,11.9,Rare,Stable,1.5,0.614,33.67,21.46,44.23,71.36,59.25,71.44,64.63,94.79,70.63,74.9,73.7
STU0003,2023,8,good,79,13.6,Regular,Declining,4.1,0.7696,29.59,12.41,42.43,97.04,79.61,53.31,85.85,66.46,66.11,69.81,88.06
STU0003,2024,9,good,78.79,13.6,Sometimes,Stable,2.8,0.7692,28.52,12.6,41.14,98.13,84.25,56.71,87.05,68.4,68.45,73.43,91.99
STU0003,2025,10,good,77.2,13.6,Sometimes,Stable,1.2,0.7721,27.68,12.53,41.98,97.69,83.71,59.32,89.75,71.45,70.97,76.39,92.85
STU0004,2023,8,moderate,67.5,11.3,Regular,Stable,5.2,0.7261,33.71,17.54,49.56,51,61.33,70.73,84.28,60.44,71.24,54.7,80.31
STU0004,2024,9,moderate,66.16,11.3,Regular,Declining,6.2,0.7179,33.27,17.59,49.37,52.02,63.3,71.04,87.14,62.42,72.32,57.82,81.28
STU0004,2025,10,moderate,67.88,11.3,Rare,Declining,6.6,0.7194,32.19,17.59,48.88,55.69,66.43,73.07,89.27,65.43,76.18,58.35,85
STU0005,2023,8,moderate,75,11.3,Regular,Improving,1,0.6409,32.49,23.61,48.28,79.37,79.11,78.09,84.57,70.93,61.4,62.22,87.05
STU0005,2024,9,moderate,64.14,11.3,Sometimes,Improving,5.2,0.641,24.53,23.69,46.96,81.67,81.91,79.81,87.3,73.29,64.21,64.19,88.77
STU0005,2025,10,moderate,69.95,11.3,Rare,Improving,4.1,0.6403,24.02,23.64,46.72,81,82.58,80.05,88.44,75.4,66.03,66.59,91.4
STU0006,2023,8,good,81,11.1,Regular,Improving,5.5,0.8376,23.21,11.15,43.23,94,89.02,92.03,96.38,89.87,80.92,71.62,94.52
STU0006,2024,9,good,75.76,11.1,Regular,Improving,6.1,0.8462,15.4,11.28,39.75,95.16,90.75,93.3,97.01,91.07,83.44,75.9,94.77
STU0006,2025,10,good,77.2,11.1,Rare,Improving,1.8,0.8419,14.82,11.26,39.48,96.4,93,93.77,97.49,91.3,85.17,78.77,96.73
STU0007,2023,8,moderate,59,19.7,Rare,Improving,2.7,0.6409,33.3,20.36,50.08,72.29,85.22,80.89,73.26,70.21,57.16,64.14,81.67
STU0007,2024,9,moderate,65.66,19.7,Regular,Stable,5.2,0.641,32.31,20.21,49.59,75.73,88.58,83.68,76.47,70.73,59.03,67.23,84.12
STU0007,2025,10,moderate,62.69,19.7,Sometimes,Stable,1.7,0.6403,31.12,20.36,49.09,79.15,90.46,83.89,79.78,74.49,61.76,70.77,88.23
STU0008,2023,8,good,70,8.1,Rare,Declining,5.5,0.6667,44.93,37.8,59.67,76.84,56.61,71.45,83.08,61.75,50.05,35.25,79.25
STU0008,2024,9,good,76.26,8.1,Sometimes,Declining,4.7,0.6667,51.3,37.8,60.02,78.4,58.5,75.1,84.48,61.04,50.07,34.85,79.66
STU0008,2025,10,good,73.06,8.1,Sometimes,Declining,7.6,0.6667,52.21,37.77,62.94,78.96,58.16,74.38,85.78,62.48,48.54,35.86,79.13
STU0009,2023,8,moderate,66,4.7,Regular,Stable,2.7,0.3591,100,49.37,87.34,28.68,23.81,39.68,48.47,40.91,49.81,39.14,25.87
STU0009,2024,9,moderate,74.75,4.7,Sometimes,Improving,7.8,0.359,100,49.61,87.4,30.89,23.13,43.24,48.67,42.6,50.09,39.78,24.58
STU0009,2025,10,moderate,65.8,4.7,Sometimes,Stable,4.7,0.3597,100,49.52,87.38,30.98,25.19,42.15,48.27,45.06,50.39,39.8,27.01
STU0010,2023,8,good,71,21.3,Sometimes,Declining,2.7,0.6667,31.77,37.18,53.59,83.98,71.97,73.77,78.53,73.46,69.57,69.27,82.05
STU0010,2024,9,good,73.23,21.3,Regular,Stable,2.1,0.6667,24.34,37.1,50.23,85.53,75,73.85,79.91,72.51,73.29,68.81,81.11
STU0010,2025,10,good,80.83,21.3,Regular,Improving,4.6,0.6667,31.24,37.14,53.34,84.79,75.01,74.67,79.06,74.41,73.05,69.42,83.04
STU0011,2023,8,excellent,88.5,22,Rare,Improving,7.6,0.8119,5.25,12.85,18.79,97.87,85.8,97.79,97.84,97.92,97.31,97.82,98.05
STU0011,2024,9,excellent,93.43,22,Regular,Improving,7.1,0.8205,5.12,12.74,12.27,97.75,85.89,97.55,97.97,97.74,97.53,97.91,97.7
STU0011,2025,10,excellent,90.16,22,Rare,Declining,1.7,0.8155,5.04,12.77,13.83,97.72,88.85,97.67,98,97.8,97.87,98.27,97.7
STU0012,2023,8,moderate,67.5,9.1,Regular,Stable,6.1,0.5472,55.57,23.34,60.84,72.64,37.77,70.18,81.83,61.4,38.59,59.61,82.76
STU0012,2024,9,moderate,65.66,9.1,Sometimes,Improving,6.5,0.5385,54.94,23.26,60.54,76.05,39.14,72.52,82.16,61.05,41.87,60.38,85.82
STU0012,2025,10,moderate,68.91,9.1,Sometimes,Improving,4.8,0.5442,54.52,23.35,60.37,76.78,38.51,75.26,84.9,62.21,44.58,60.39,87.89
STU0013,2023,8,excellent,88,23.1,Sometimes,Declining,1.1,0.897,4.06,13.53,17.63,97.67,97.95,87.45,97.49,96.71,89.59,97.61,95.18
STU0013,2024,9,excellent,86.36,23.1,Rare,Improving,5.6,0.8974,3.82,13.55,21.47,97.5,97.69,90.39,97.75,97.37,90.99,98.02,95.72
STU0013,2025,10,excellent,86.53,23.1,Regular,Stable,7.9,0.8946,3.73,13.55,18.7,97.67,97.85,92.33,97.79,97.89,91.16,97.73,96.03
