student_id,year,grade,attendance_category,attendance_rate,days_present,total_days,avg_score,score_std,min_score,max_score,iq_level,study_hours_per_week,student_type,has_tuition,has_learning_difficulty,failing_subjects,weak_subjects,homework_completion_rate,homework_on_time_rate,classwork_completion_rate,parent_engagement_score,parent_meeting_attendance_rate,lms_time_hours,lms_engagement_score,health_status,absences_due_to_sickness,health_incidents,attendance_risk_score,academic_risk_score,behavioral_risk_score,overall_risk_score,risk_level,risk_category,Buddhism_score,English_score,Geography_score,History_score,ICT_score,Mathematics_score,Science_score,Sinhala_score,had_intervention,intervention_type,intervention_effective
STU0001,2023,8,good,74.5,149,200,87.05,10.5,50.2,100.0,98,13.9,science_oriented,1,0,0,0,0.7696,0.711,0.8309,0.8272,0.6667,87.3,0.7243,average,37,3,100.0,9.79,13.02,37.66,Medium,Medium Risk,93.55,78.56,82.22,89.49,89.5,80.68,94.71,88.5,0,None,0
STU0001,2024,9,good,77.27,153,198,88.58,10.29,46.9,100.0,98,13.9,science_oriented,1,0,0,1,0.7692,0.7,0.8308,0.8272,0.6667,84.85,0.7243,average,31,1,100.0,17.18,13.13,41.01,Medium,Medium Risk,94.27,80.79,87.15,90.15,89.63,82.2,96.06,89.99,1,Parent Meeting,1
STU0001,2025,10,good,75.65,146,193,90.16,9.4,47.6,100.0,98,13.9,science_oriented,1,0,0,1,0.7721,0.7048,0.8316,0.8272,0.6667,127.5,0.7243,average,32,8,100.0,16.49,13.07,40.69,Medium,Medium Risk,96.09,82.92,85.92,92.98,92.0,85.57,96.33,91.87,0,None,0
STU0002,2023,8,good,78.5,157,200,69.73,13.67,23.1,100.0,96,11.9,science_oriented,0,0,1,0,0.6152,0.4581,0.7073,0.7607,0.6667,153.35,0.545,good,26,2,93.05,34.81,21.42,48.93,Medium,Medium Risk,69.21,58.75,69.93,59.71,92.29,67.14,72.11,68.53,0,None,0
STU0002,2024,9,good,75.25,149,198,71.2,13.52,28.9,100.0,96,11.9,science_oriented,0,0,1,0,0.6154,0.4583,0.7077,0.7607,0.6667,142.57,0.545,good,29,4,100.0,34.21,21.41,50.75,Medium,Medium Risk,70.3,58.48,72.25,63.08,92.27,68.08,73.55,71.85,1,Study Group,1
STU0002,2025,10,good,81.35,157,193,72.63,13.71,32.8,100.0,96,11.9,science_oriented,0,0,1,0,0.614,0.4571,0.7051,0.7607,0.6667,102.97,0.545,good,22,1,79.06,33.67,21.46,44.23,Medium,Medium Risk,71.36,59.25,71.44,64.63,94.79,70.63,74.9,73.7,1,Study Group,0
STU0003,2023,8,good,79.0,158,200,75.05,16.14,22.1,100.0,88,13.6,language_oriented,1,0,1,0,0.7696,0.6776,0.8665,0.858,0.6667,96.08,0.7104,good,24,4,86.7,29.59,12.41,42.43,Medium,Medium Risk,97.04,79.61,53.31,85.85,66.46,66.11,69.81,88.06,0,None,0
STU0003,2024,9,good,78.79,156,198,77.74,15.82,21.1,100.0,88,13.6,language_oriented,1,0,1,0,0.7692,0.6667,0.8615,0.858,0.6667,93.52,0.7104,good,23,2,83.85,28.52,12.6,41.14,Medium,Medium Risk,98.13,84.25,56.71,87.05,68.4,68.45,73.43,91.99,0,None,0
STU0003,2025,10,good,77.2,149,193,79.69,15.03,29.4,100.0,88,13.6,language_oriented,1,0,1,0,0.7721,0.6706,0.8632,0.858,0.6667,168.3,0.7104,good,24,3,87.96,27.68,12.53,41.98,Medium,Medium Risk,97.69,83.71,59.32,89.75,71.45,70.97,76.39,92.85,1,Parent Meeting,1
STU0004,2023,8,moderate,67.5,135,200,66.91,14.72,31.1,100.0,96,11.3,balanced,0,0,1,0,0.7261,0.5763,0.7537,0.618,0.3333,46.47,0.8685,average,43,5,100.0,33.71,17.54,49.56,High,High Risk,51.0,61.33,70.73,84.28,60.44,71.24,54.7,80.31,0,None,0
STU0004,2024,9,moderate,66.16,131,198,68.42,14.65,31.2,100.0,96,11.3,balanced,0,0,1,0,0.7179,0.5714,0.7538,0.618,0.3333,75.62,0.8685,average,52,1,100.0,33.27,17.59,49.37,High,High Risk,52.02,63.3,71.04,87.14,62.42,72.32,57.82,81.28,1,Study Skills Workshop,1
STU0004,2025,10,moderate,67.88,131,193,71.06,14.56,27.6,100.0,96,11.3,balanced,0,0,1,0,0.7194,0.5733,0.7526,0.618,0.3333,82.4,0.8685,average,48,1,100.0,32.19,17.59,48.88,High,High Risk,55.69,66.43,73.07,89.27,65.43,76.18,58.35,85.0,1,Mentoring Program,1
