attendance,avg_marks,study_hours,homework_rate,screen_time,study_consistency,recommendation_1,recommendation_2,recommendation_3
88.5,37.0,5.4,60.4,5.5,14.0,Combo_LowStudy_LowConsistency,Combo_HighScreen_LowHomework,StudyHours_Critical
99.0,77.3,16.3,67.1,1.4,97.4,Attendance_Success,StudyHours_Success,Consistency_Success
84.7,66.0,9.5,95.1,5.8,91.2,Attendance_Warning,ScreenTime_Critical,Consistency_Success
65.3,55.2,12.0,85.7,2.0,79.5,Attendance_Critical,General_Balanced,General_Balanced
62.7,31.6,15.8,54.7,4.2,53.1,Combo_HighStudy_LowMarks,Combo_HighScreen_LowHomework,Attendance_Critical
63.9,52.3,7.5,37.4,3.6,87.6,Attendance_Critical,StudyHours_Critical,ScreenTime_Warning
92.8,38.2,5.3,47.4,4.3,99.1,Combo_HighScreen_LowHomework,StudyHours_Critical,Marks_Critical
82.2,25.0,16.1,83.2,5.8,10.4,Combo_HighStudy_LowMarks,Attendance_Warning,Marks_Critical
68.5,50.6,8.6,62.0,1.2,34.8,Combo_LowStudy_LowConsistency,Attendance_Critical,Consistency_Warning
52.3,29.3,6.6,78.9,3.1,36.9,Combo_LowStudy_LowConsistency,Attendance_Critical,StudyHours_Critical
70.6,30.4,19.0,63.2,3.7,50.5,Combo_HighStudy_LowMarks,Attendance_Critical,Marks_Critical
69.8,70.8,8.2,96.4,6.7,22.4,Combo_LowStudy_LowConsistency,Attendance_Critical,ScreenTime_Critical
97.5,47.0,8.3,35.7,4.6,82.1,Combo_HighScreen_LowHomework,ScreenTime_Warning,Attendance_Success
61.4,35.7,5.9,51.2,3.8,52.9,Attendance_Critical,StudyHours_Critical,Marks_Critical
70.8,82.2,18.2,85.3,5.4,75.4,Attendance_Critical,ScreenTime_Critical,StudyHours_Success
69.9,74.2,5.8,35.0,4.0,32.4,Combo_LowStudy_LowConsistency,Combo_HighScreen_LowHomework,Attendance_Critical
67.1,62.6,10.8,62.8,3.0,63.2,Attendance_Critical,General_Balanced,General_Balanced
82.5,92.3,10.7,79.5,4.7,92.9,Attendance_Warning,ScreenTime_Warning,Marks_Success
97.5,25.4,9.1,65.1,7.8,78.9,Combo_HighScreen_LowHomework,Marks_Critical,ScreenTime_Critical
98.4,21.4,18.2,99.9,8.0,44.9,Combo_HighStudy_LowMarks,Marks_Critical,ScreenTime_Critical
89.8,27.3,11.7,38.6,2.7,32.1,Marks_Critical,Consistency_Warning,General_Balanced
52.0,59.4,10.7,52.4,4.4,53.3,Combo_HighScreen_LowHomework,Attendance_Critical,ScreenTime_Warning
55.1,52.6,2.5,99.8,4.1,71.5,Attendance_Critical,StudyHours_Critical,ScreenTime_Warning
